timestamp,workload,runs,avg_ms,p50_ms,p90_ms,stdev_ms,outlen_avg,tokens_avg,server,model,max_tokens,temperature,os,python
2025-11-02T19:05:08.419135,text,10,511.56,509.28,530.64,6.92,32.0,9.0,http://vincents-Mac-Studio.local:8000,Hcompany/Holo1.5-7B,64,0.0,Darwin 24.6.0,3.13.5
2025-11-02T19:09:10.258572,image,10,21980.16,21462.43,29595.83,4093.41,45.0,15.0,http://vincents-Mac-Studio.local:8000,Hcompany/Holo1.5-7B,64,0.0,Darwin 24.6.0,3.13.5
